session_file,subject,day,stage,reason,detail
P1_D1-epo.fif,1,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P1_D2-epo.fif,1,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P1_D3_9-epo.fif,1,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P1_D4_14-epo.fif,1,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P1_D5-epo.fif,1,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P2_D1-epo.fif,2,1,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P2_D2-epo.fif,2,2,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P2_D3-epo.fif,2,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P2_D4-epo.fif,2,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P2_D5-epo.fif,2,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P3_D1-epo.fif,3,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P3_D2-epo.fif,3,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P3_D3-epo.fif,3,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P3_D4-epo.fif,3,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P3_D5-epo.fif,3,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P4_D1-epo.fif,4,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P4_D2_9-epo.fif,4,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P4_D3-epo.fif,4,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P4_D4-epo.fif,4,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P4_D5-epo.fif,4,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P5_D1-epo.fif,5,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P5_D2-epo.fif,5,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P5_D3-epo.fif,5,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P5_D4-epo.fif,5,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P5_D5-epo.fif,5,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P6_D1-epo.fif,6,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P6_D2-epo.fif,6,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P6_D3-epo.fif,6,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P6_D4-epo.fif,6,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P6_D5-epo.fif,6,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P7_D1-epo.fif,7,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P7_D2-epo.fif,7,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P7_D3-epo.fif,7,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P7_D4-epo.fif,7,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P7_D5-epo.fif,7,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P8_D1-epo.fif,8,1,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P8_D2-epo.fif,8,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P8_D3-epo.fif,8,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P8_D4-epo.fif,8,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P8_D5-epo.fif,8,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P9_D1-epo.fif,9,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P9_D2-epo.fif,9,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P9_D3-epo.fif,9,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P9_D4-epo.fif,9,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P9_D5-epo.fif,9,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P10_D1-epo.fif,10,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P10_D2-epo.fif,10,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P10_D3-epo.fif,10,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P10_D4-epo.fif,10,4,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P10_D5-epo.fif,10,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P11_D1-epo.fif,11,1,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P11_D2_5-epo.fif,11,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P11_D3-epo.fif,11,3,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P11_D4-epo.fif,11,4,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P11_D5-epo.fif,11,5,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P12_D1-epo.fif,12,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P12_D2-epo.fif,12,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P12_D3-epo.fif,12,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P12_D4-epo.fif,12,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P12_D5-epo.fif,12,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P13_D1-epo.fif,13,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P13_D2-epo.fif,13,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P13_D3-epo.fif,13,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P13_D4-epo.fif,13,4,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P13_D5-epo.fif,13,5,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P14_D1-epo.fif,14,1,epoch_count,insufficient_epochs,n_trials=547 < min_epochs=10000
P14_D2-epo.fif,14,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P14_D3-epo.fif,14,3,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P14_D4_19-epo.fif,14,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P15_D1-epo.fif,15,1,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P15_D2-epo.fif,15,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P15_D3_10-epo.fif,15,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P15_D4-epo.fif,15,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P15_D5-epo.fif,15,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P16_D1-epo.fif,16,1,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P16_D2-epo.fif,16,2,epoch_count,insufficient_epochs,n_trials=548 < min_epochs=10000
P16_D3-epo.fif,16,3,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P16_D4-epo.fif,16,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P16_D5-epo.fif,16,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P17_D1-epo.fif,17,1,epoch_count,insufficient_epochs,n_trials=518 < min_epochs=10000
P17_D2-epo.fif,17,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P17_D3-epo.fif,17,3,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P17_D4-epo.fif,17,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P17_D5-epo.fif,17,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P18_D1-epo.fif,18,1,epoch_count,insufficient_epochs,n_trials=538 < min_epochs=10000
P18_D2-epo.fif,18,2,epoch_count,insufficient_epochs,n_trials=542 < min_epochs=10000
P18_D3-epo.fif,18,3,epoch_count,insufficient_epochs,n_trials=546 < min_epochs=10000
P18_D4-epo.fif,18,4,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P18_D5-epo.fif,18,5,epoch_count,insufficient_epochs,n_trials=547 < min_epochs=10000
P19_D1-epo.fif,19,1,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P19_D2-epo.fif,19,2,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P19_D3-epo.fif,19,3,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
P19_D4-epo.fif,19,4,epoch_count,insufficient_epochs,n_trials=549 < min_epochs=10000
P19_D5-epo.fif,19,5,epoch_count,insufficient_epochs,n_trials=550 < min_epochs=10000
